# E-JIP SCORE V2 STEP 3 — Blind Expert Review Sheet
# 질문: 1) 어느 단지가 실거주 품질이 높아 보입니까(A/B/TIE)? 2) 가장 중요한 이유는?
# V2 점수는 이 파일에 없습니다 — 답변 후 answer-key와 대조하세요.
pairId,side,subwayDistanceM,subwayStatus,busStopDistanceM,busStopCount300m,ageYears,households,parkingRatio,elementaryDistanceM,mart1000m,convenience500m,pharmacy500m,hospital1000m,park1000m,dataConfidence
PAIR-01,A,126,VALUE,92,6,0,725,1.26,300,3,8,3,45,3,HIGH
PAIR-01,B,979,VALUE,43,21,64,60,정보없음,208,1,2,1,45,13,HIGH
PAIR-02,A,496,VALUE,11,13,1,1343,1.24,520,2,10,14,45,12,HIGH
PAIR-02,B,450,VALUE,248,8,64,188,정보없음,384,2,2,5,45,13,HIGH
PAIR-03,A,,MISSING,,,1,2195,1.12,457,2,8,3,45,9,HIGH
PAIR-03,B,368,VALUE,205,5,64,,정보없음,333,2,3,7,45,13,HIGH
PAIR-04,A,,CONFIRMED_ABSENT,144,10,1,1295,1.09,293,2,5,1,14,9,HIGH
PAIR-04,B,442,VALUE,127,6,64,30,정보없음,414,2,9,18,45,13,HIGH
PAIR-05,A,491,VALUE,101,14,1,549,1.30,433,2,13,13,45,14,HIGH
PAIR-05,B,839,VALUE,72,18,64,,정보없음,260,0,6,1,45,11,HIGH
PAIR-06,A,,MISSING,,,1,440,1.14,310,5,11,2,45,12,HIGH
PAIR-06,B,795,VALUE,46,19,64,,정보없음,294,1,7,1,45,11,HIGH
PAIR-07,A,19,VALUE,5,14,4,636,1.17,484,2,20,9,45,15,HIGH
PAIR-07,B,,CONFIRMED_ABSENT,110,6,3,295,1.28,403,1,8,3,11,9,HIGH
PAIR-08,A,32,VALUE,40,17,29,164,0.70,176,4,12,4,45,8,HIGH
PAIR-08,B,,CONFIRMED_ABSENT,79,9,35,,정보없음,602,3,7,2,21,11,HIGH
PAIR-09,A,38,VALUE,108,31,8,88,정보없음,302,3,18,5,31,13,HIGH
PAIR-09,B,,CONFIRMED_ABSENT,46,7,2,1302,1.27,208,1,10,3,11,9,HIGH
PAIR-10,A,38,VALUE,34,16,24,48,정보없음,368,2,14,14,45,14,HIGH
PAIR-10,B,,CONFIRMED_ABSENT,163,13,11,2369,1.65,466,3,8,2,45,11,HIGH
PAIR-11,A,40,VALUE,70,8,10,27,정보없음,572,5,22,10,45,7,HIGH
PAIR-11,B,,CONFIRMED_ABSENT,118,11,50,,정보없음,451,2,6,2,33,11,HIGH
PAIR-12,A,44,VALUE,93,29,21,117,정보없음,319,3,18,5,31,12,HIGH
PAIR-12,B,901,VALUE,77,14,28,,정보없음,579,1,7,3,23,13,HIGH
PAIR-13,A,,CONFIRMED_ABSENT,58,12,23,7374,1.71,429,4,8,11,45,15,HIGH
PAIR-13,B,300,VALUE,114,15,7,77,정보없음,261,2,2,3,3,14,HIGH
PAIR-14,A,,CONFIRMED_ABSENT,58,12,23,7374,1.71,429,4,8,11,45,15,HIGH
PAIR-14,B,209,VALUE,53,12,52,34,정보없음,202,2,30,27,45,12,HIGH
PAIR-15,A,,CONFIRMED_ABSENT,58,12,25,7374,1.71,429,4,8,11,45,15,HIGH
PAIR-15,B,449,VALUE,111,15,7,30,정보없음,658,0,12,2,5,9,HIGH
PAIR-16,A,,CONFIRMED_ABSENT,58,12,23,7374,1.71,429,4,8,11,45,15,HIGH
PAIR-16,B,355,VALUE,76,20,20,72,정보없음,296,2,25,19,45,1,HIGH
PAIR-17,A,,MISSING,,,22,7374,1.71,429,4,8,11,45,15,HIGH
PAIR-17,B,797,VALUE,241,9,33,90,정보없음,110,3,8,7,45,11,HIGH
PAIR-18,A,,CONFIRMED_ABSENT,58,12,24,7374,1.71,429,4,8,11,45,15,HIGH
PAIR-18,B,459,VALUE,199,14,51,31,정보없음,468,2,15,13,45,1,HIGH
PAIR-19,A,710,VALUE,254,4,7,882,5.56,568,4,20,2,45,12,HIGH
PAIR-19,B,,CONFIRMED_ABSENT,84,9,32,640,0.53,425,1,3,1,10,11,HIGH
PAIR-20,A,456,VALUE,,,20,114,4.84,427,2,17,7,45,12,HIGH
PAIR-20,B,795,VALUE,34,21,29,928,0.59,115,7,7,1,45,11,HIGH
PAIR-21,A,842,VALUE,202,9,19,232,4.11,435,2,11,3,42,11,HIGH
PAIR-21,B,557,VALUE,219,8,15,55,0.25,310,1,12,4,34,15,HIGH
PAIR-22,A,407,VALUE,57,8,12,240,3.56,754,2,18,6,45,12,HIGH
PAIR-22,B,,CONFIRMED_ABSENT,31,8,26,104,0.60,134,1,6,2,30,15,HIGH
PAIR-23,A,506,VALUE,58,10,14,278,3.19,791,2,17,6,45,12,HIGH
PAIR-23,B,742,VALUE,54,13,26,173,0.50,499,2,8,1,45,11,HIGH
PAIR-24,A,,CONFIRMED_ABSENT,10,20,7,431,3.08,376,4,9,0,45,6,HIGH
PAIR-24,B,,CONFIRMED_ABSENT,69,17,28,217,0.58,392,3,7,10,45,9,HIGH
PAIR-25,A,,CONFIRMED_ABSENT,137,6,8,117,1.04,40,0,2,0,2,4,HIGH
PAIR-25,B,,CONFIRMED_ABSENT,61,6,34,160,0.82,829,0,1,0,8,11,HIGH
PAIR-26,A,547,VALUE,31,19,40,25,정보없음,42,3,18,2,40,5,HIGH
PAIR-26,B,,CONFIRMED_ABSENT,89,4,24,230,1.00,976,0,1,0,7,11,HIGH
PAIR-27,A,374,VALUE,187,8,40,72,정보없음,43,1,10,5,45,15,HIGH
